insertId,jsonPayload.instruction,jsonPayload.job,jsonPayload.logger,jsonPayload.message,jsonPayload.portability_worker_id,jsonPayload.step,jsonPayload.thread,jsonPayload.work,jsonPayload.worker,"labels.""compute.googleapis.com/resource_id""","labels.""compute.googleapis.com/resource_name""","labels.""compute.googleapis.com/resource_type""","labels.""dataflow.googleapis.com/job_id""","labels.""dataflow.googleapis.com/job_name""","labels.""dataflow.googleapis.com/region""",logName,receiveLocation,receiveTimestamp,receivedLocation,resource.labels.job_id,resource.labels.job_name,resource.labels.project_id,resource.labels.region,resource.labels.step_id,resource.type,severity,timestamp
8896859151494313223:277612:0:610491456,process_bundle-3962055-4021753,2022-09-23_08_04_38-5322857071718480020,/usr/local/lib/python3.7/site-packages/CV_Work_Zone/wzdx/raw_to_standard/planned_events.py:419,"Unable to process event, no start date for event: OpenTMS-Event5513687955",sdk-0-0,Standardize Message,Thread-18,3962055,wzdx-planned-events-stand-09230807-936k-harness-7f99,8896859151494313223,wzdx-planned-events-stand-09230807-936k-harness-7f99,instance,2022-09-23_08_04_38-5322857071718480020,wzdx-planned-events-standard,us-central1,projects/cdot-rtdh-prod/logs/dataflow.googleapis.com%2Fworker,,2022-09-30T15:46:21.732495033Z,,2022-09-23_08_04_38-5322857071718480020,wzdx-planned-events-standard,cdot-rtdh-prod,us-central1,Standardize Message,dataflow_step,WARNING,2022-09-30T15:46:21.547113418Z
8896859151494313223:277612:0:610490931,process_bundle-3962013-4021711,2022-09-23_08_04_38-5322857071718480020,/usr/local/lib/python3.7/site-packages/CV_Work_Zone/wzdx/raw_to_standard/planned_events.py:447,Unable to retrive geometry coordinates for event: OpenTMS-Event4833372972,sdk-0-0,Standardize Message,Thread-17,3962013,wzdx-planned-events-stand-09230807-936k-harness-7f99,8896859151494313223,wzdx-planned-events-stand-09230807-936k-harness-7f99,instance,2022-09-23_08_04_38-5322857071718480020,wzdx-planned-events-standard,us-central1,projects/cdot-rtdh-prod/logs/dataflow.googleapis.com%2Fworker,,2022-09-30T15:46:21.732495033Z,,2022-09-23_08_04_38-5322857071718480020,wzdx-planned-events-standard,cdot-rtdh-prod,us-central1,Standardize Message,dataflow_step,INFO,2022-09-30T15:46:21.545294523Z
8896859151494313223:277612:0:610490406,process_bundle-3962013-4021711,2022-09-23_08_04_38-5322857071718480020,/usr/local/lib/python3.7/site-packages/CV_Work_Zone/wzdx/raw_to_standard/planned_events.py:419,"Unable to process event, no start date for event: OpenTMS-Event5394053610",sdk-0-0,Standardize Message,Thread-17,3962013,wzdx-planned-events-stand-09230807-936k-harness-7f99,8896859151494313223,wzdx-planned-events-stand-09230807-936k-harness-7f99,instance,2022-09-23_08_04_38-5322857071718480020,wzdx-planned-events-standard,us-central1,projects/cdot-rtdh-prod/logs/dataflow.googleapis.com%2Fworker,,2022-09-30T15:46:21.732495033Z,,2022-09-23_08_04_38-5322857071718480020,wzdx-planned-events-standard,cdot-rtdh-prod,us-central1,Standardize Message,dataflow_step,WARNING,2022-09-30T15:46:21.541846990Z
8896859151494313223:277612:0:610489881,process_bundle-3962013-4021711,2022-09-23_08_04_38-5322857071718480020,/usr/local/lib/python3.7/site-packages/CV_Work_Zone/wzdx/raw_to_standard/planned_events.py:419,"Unable to process event, no start date for event: OpenTMS-Event5394053610",sdk-0-0,Standardize Message,Thread-17,3962013,wzdx-planned-events-stand-09230807-936k-harness-7f99,8896859151494313223,wzdx-planned-events-stand-09230807-936k-harness-7f99,instance,2022-09-23_08_04_38-5322857071718480020,wzdx-planned-events-standard,us-central1,projects/cdot-rtdh-prod/logs/dataflow.googleapis.com%2Fworker,,2022-09-30T15:46:21.732495033Z,,2022-09-23_08_04_38-5322857071718480020,wzdx-planned-events-standard,cdot-rtdh-prod,us-central1,Standardize Message,dataflow_step,WARNING,2022-09-30T15:46:21.529722929Z
8896859151494313223:277612:0:610489356,process_bundle-3962013-4021711,2022-09-23_08_04_38-5322857071718480020,/usr/local/lib/python3.7/site-packages/CV_Work_Zone/wzdx/raw_to_standard/planned_events.py:447,Unable to retrive geometry coordinates for event: OpenTMS-Event5169769087,sdk-0-0,Standardize Message,Thread-17,3962013,wzdx-planned-events-stand-09230807-936k-harness-7f99,8896859151494313223,wzdx-planned-events-stand-09230807-936k-harness-7f99,instance,2022-09-23_08_04_38-5322857071718480020,wzdx-planned-events-standard,us-central1,projects/cdot-rtdh-prod/logs/dataflow.googleapis.com%2Fworker,,2022-09-30T15:46:21.732495033Z,,2022-09-23_08_04_38-5322857071718480020,wzdx-planned-events-standard,cdot-rtdh-prod,us-central1,Standardize Message,dataflow_step,INFO,2022-09-30T15:46:21.529000043Z
8896859151494313223:277612:0:610488831,process_bundle-3962055-4021753,2022-09-23_08_04_38-5322857071718480020,/usr/local/lib/python3.7/site-packages/CV_Work_Zone/wzdx/raw_to_standard/planned_events.py:447,Unable to retrive geometry coordinates for event: OpenTMS-Event4944018359,sdk-0-0,Standardize Message,Thread-18,3962055,wzdx-planned-events-stand-09230807-936k-harness-7f99,8896859151494313223,wzdx-planned-events-stand-09230807-936k-harness-7f99,instance,2022-09-23_08_04_38-5322857071718480020,wzdx-planned-events-standard,us-central1,projects/cdot-rtdh-prod/logs/dataflow.googleapis.com%2Fworker,,2022-09-30T15:46:21.732495033Z,,2022-09-23_08_04_38-5322857071718480020,wzdx-planned-events-standard,cdot-rtdh-prod,us-central1,Standardize Message,dataflow_step,INFO,2022-09-30T15:46:21.524370908Z
8896859151494313223:277612:0:610488306,process_bundle-3962055-4021753,2022-09-23_08_04_38-5322857071718480020,/usr/local/lib/python3.7/site-packages/CV_Work_Zone/wzdx/raw_to_standard/planned_events.py:419,"Unable to process event, no start date for event: OpenTMS-Event5512115786",sdk-0-0,Standardize Message,Thread-18,3962055,wzdx-planned-events-stand-09230807-936k-harness-7f99,8896859151494313223,wzdx-planned-events-stand-09230807-936k-harness-7f99,instance,2022-09-23_08_04_38-5322857071718480020,wzdx-planned-events-standard,us-central1,projects/cdot-rtdh-prod/logs/dataflow.googleapis.com%2Fworker,,2022-09-30T15:46:21.732495033Z,,2022-09-23_08_04_38-5322857071718480020,wzdx-planned-events-standard,cdot-rtdh-prod,us-central1,Standardize Message,dataflow_step,WARNING,2022-09-30T15:46:21.521743774Z
8896859151494313223:277612:0:610487781,process_bundle-3962055-4021753,2022-09-23_08_04_38-5322857071718480020,/usr/local/lib/python3.7/site-packages/CV_Work_Zone/wzdx/raw_to_standard/planned_events.py:419,"Unable to process event, no start date for event: OpenTMS-Event5512115786",sdk-0-0,Standardize Message,Thread-18,3962055,wzdx-planned-events-stand-09230807-936k-harness-7f99,8896859151494313223,wzdx-planned-events-stand-09230807-936k-harness-7f99,instance,2022-09-23_08_04_38-5322857071718480020,wzdx-planned-events-standard,us-central1,projects/cdot-rtdh-prod/logs/dataflow.googleapis.com%2Fworker,,2022-09-30T15:46:21.732495033Z,,2022-09-23_08_04_38-5322857071718480020,wzdx-planned-events-standard,cdot-rtdh-prod,us-central1,Standardize Message,dataflow_step,WARNING,2022-09-30T15:46:21.513209819Z
8896859151494313223:277612:0:610487256,process_bundle-3962031-4021729,2022-09-23_08_04_38-5322857071718480020,/usr/local/lib/python3.7/site-packages/CV_Work_Zone/wzdx/raw_to_standard/planned_events.py:447,Unable to retrive geometry coordinates for event: OpenTMS-Event4941209057,sdk-0-0,Standardize Message,Thread-30,3962031,wzdx-planned-events-stand-09230807-936k-harness-7f99,8896859151494313223,wzdx-planned-events-stand-09230807-936k-harness-7f99,instance,2022-09-23_08_04_38-5322857071718480020,wzdx-planned-events-standard,us-central1,projects/cdot-rtdh-prod/logs/dataflow.googleapis.com%2Fworker,,2022-09-30T15:46:21.732495033Z,,2022-09-23_08_04_38-5322857071718480020,wzdx-planned-events-standard,cdot-rtdh-prod,us-central1,Standardize Message,dataflow_step,INFO,2022-09-30T15:46:21.489068031Z
8896859151494313223:277612:0:610486731,process_bundle-3962013-4021711,2022-09-23_08_04_38-5322857071718480020,/usr/local/lib/python3.7/site-packages/CV_Work_Zone/wzdx/raw_to_standard/planned_events.py:447,Unable to retrive geometry coordinates for event: OpenTMS-Event5507459697,sdk-0-0,Standardize Message,Thread-17,3962013,wzdx-planned-events-stand-09230807-936k-harness-7f99,8896859151494313223,wzdx-planned-events-stand-09230807-936k-harness-7f99,instance,2022-09-23_08_04_38-5322857071718480020,wzdx-planned-events-standard,us-central1,projects/cdot-rtdh-prod/logs/dataflow.googleapis.com%2Fworker,,2022-09-30T15:46:21.732495033Z,,2022-09-23_08_04_38-5322857071718480020,wzdx-planned-events-standard,cdot-rtdh-prod,us-central1,Standardize Message,dataflow_step,INFO,2022-09-30T15:46:21.480317115Z
