srNo,sys_gUid,uniqueId,createdBy,createdDate,lastUpdatedBy,lastUpdatedDate,constructionType,streetNameFrom,streetNameTo,routeName,mileMarkerStart,mileMarkerEnd,travelRestriction,plannedStartDate,plannedEndDate,closureStatus,actualStartDate,actualEndDate,permitDocument,permitID,imageUrl,imageName/Description
1,ConstructionWorkZone-a0378612-13e7-4f51-b7d9-fb68d61c7841,6068127a70d091003bd50f2a,admin@sa1.com,2021-04-03T07:00:10.086Z,admin@sa1.com,2021-04-03T07:00:10.086Z,Road,,,,,,,,,Active,,,,,,
2,ConstructionWorkZone-24ace959-f2e8-47af-9ccb-d3267dae6c54,6084623154c9da003a1f6689,nnageli@navjoyinc.com.demo,2021-04-24T18:23:45.818Z,nnageli@navjoyinc.com.demo,2021-04-24T18:23:45.818Z,Lane Expansion,Castlerock,Monument,I-25,160,180,,06-15-2020 14:17,01-31-2022 14:17,Active,08-03-2020 14:23,,,,,
3,ConstructionWorkZone-0eadcd7a-e2f8-41d9-ada7-3d0b29a9e025,5c1d11d699bddb00565a0cf0,nnageli@navjoyinc.com.cdotgov,2018-12-21T16:16:22.560Z,nnageli@navjoyinc.com.cdotgov,2019-05-29T15:01:16.046Z,Road,6th St,Illinois Ave,I-25,95,99,"Speeds Reduced,Oversize Restriction",12-16-2018 02:00,04-30-2019 02:00,Active,12-16-2018 02:00,12-22-2018,"name : I-25 Ilex St to City Center Dr, description :  Road Construction Permit, url : https://assetgovprod.s3-us-west-2.amazonaws.com/Documents/CDOT%20Gov/documents/undefinedc5b70aec-c757-43ee-a9b7-06ff1573143ePermit%20Document%20for%20Work%20Zones.docx",2468,https://assetgovprod.s3-us-west-2.amazonaws.com/Documents/CDOT%20Gov/documents/undefinedc5b70aec-c757-43ee-a9b7-06ff1573143ePermit%20Document%20for%20Work%20Zones.docx,I-25 Ilex St to City Center Dr / Road Construction Permit
4,ConstructionWorkZone-891760e0-8acd-40c9-b8dd-0a25148b2d91,5cafb02627f3ca004bf30d4a,sschmidtlein@navjoyinc.com.cdotgov,2019-04-11T21:22:46.131Z,nnageli@navjoyinc.com.cdotgov,2020-01-08T06:52:29.152Z,Road,Brighton Blvd,Chambers Rd,I-70,275,283,"(Sunday, April 7, 2019 - Saturday, April 13, 2019) : Delays Possible",04-07-2019 02:00,12-31-2020 02:00,Active,04-07-2019 02:00,,,,https://assetgovprod.s3-us-west-2.amazonaws.com/Documents/CDOT%20Gov/documents/undefined0af99bad-e239-4cf8-ae02-400d72ef8263Permit%20Document%20for%20Work%20Zones.docx,I-70 EB/WB from Brighton Blvd to Chambers / Road Construction Permit
5,ConstructionWorkZone-43fe44ca-59ec-46ef-bd0c-2c3eff312f2a,5cb497a327f3ca004bf30e65,sschmidtlein@navjoyinc.com.cdotgov,2019-04-15T14:39:31.856Z,nnageli@navjoyinc.com.cdotgov,2019-05-29T14:42:04.429Z,Traffic Signal Installation,C-470,Alameda Pkwy,C-470,1.84,1.84,"(Sunday, May 26, 2019 - Saturday, June 1, 2019) : Delays Possible",04-15-2019 11:00,10-31-2019 02:00,Active,04-15-2019 11:00,,"name : C-470 and Alameda Pkwy, description :  Traffic Signal Installation Permit, url : https://assetgovprod.s3-us-west-2.amazonaws.com/Documents/CDOT%20Gov/documents/undefinedb23114e4-691b-482d-b6d6-474458daf853Permit%20Document%20for%20Work%20Zones.docx",2468,https://assetgovprod.s3-us-west-2.amazonaws.com/Documents/CDOT%20Gov/documents/undefinedb23114e4-691b-482d-b6d6-474458daf853Permit%20Document%20for%20Work%20Zones.docx,C-470 and Alameda Pkwy / Traffic Signal Installation Permit
6,ConstructionWorkZone-b3756ba3-1572-4309-8a28-39977443dbf9,5cb8b952d8910d003729b973,sschmidtlein@navjoyinc.com.cdotgov,2019-04-18T17:52:18.553Z,nnageli@navjoyinc.com.cdotgov,2019-06-04T07:59:03.349Z,Road,US 6,Edwards Access Rd,US 6,166,166,"(Sunday, May 26, 2019 - Saturday, June 1, 2019) : Delays Possible,Flagger Operations,Speeds Reduced,Traffic Shift,Width Restrictions: 12 Ft.,No Weekend Work,Trucks Entering and Exiting Work Zone",04-14-2019 22:00,04-30-2020 02:00,Active,04-14-2019 22:00,,"name : US 6 EB/WB south of I-70, description :  Road Construction Permit, url : https://assetgovprod.s3-us-west-2.amazonaws.com/Documents/CDOT%20Gov/documents/undefinedb9b99f01-1f65-44c5-a3c5-b3ecaae858a5Permit%20Document%20for%20Work%20Zones.docx",2468,https://assetgovprod.s3-us-west-2.amazonaws.com/Documents/CDOT%20Gov/documents/undefinedb9b99f01-1f65-44c5-a3c5-b3ecaae858a5Permit%20Document%20for%20Work%20Zones.docx,US 6 EB/WB south of I-70 / Road Construction Permit
7,ConstructionWorkZone-a2519081-1325-4530-a2b9-1f98c56ab3ec,5daed94f87ba8f003b5ae0fa,platform@testing.com,2019-10-22T10:26:23.032Z,platform@testing.com,2019-10-22T10:26:23.032Z,Traffic Signal Installation,,,,,,,,,Inactive,10-25-2019 20:26,10-26-2019,,,,
8,ConstructionWorkZone-8bcb3827-6a69-4e65-abe2-4f9bca0a0f83,5dbafcafbc698b003b25e870,jvue@navjoyinc.com.gwv,2019-10-31T15:24:31.513Z,nnageli@navjoyinc.com.gwv,2020-09-16T20:22:02.680Z,Median Work,University Blvd,Quebec St,Belleview Ave,11.560,14.613,,11-04-2019 02:00,06-01-2020 02:00,Active,10-02-2019 10:00,,"name : CDOT Permit, description :  Permit for construction, url : https://assetgovprod.s3-us-west-2.amazonaws.com/Documents/Greenwood%20Village/documents/ConstructionWorkZone26b2c245-ad10-4c89-8921-a610994237f3CDOT_Permit_Completed10-17-19.pdf",1190694,https://assetgovprod.s3-us-west-2.amazonaws.com/Documents/Greenwood%20Village/documents/ConstructionWorkZone509f6266-c26d-4a31-8018-81270db4b196Weekly%20Traffic%20Monitoring%20Report%20Week%20of%204-27.pdf,Weekly Traffic Monitoring Report 4-27 / 
8,ConstructionWorkZone-8bcb3827-6a69-4e65-abe2-4f9bca0a0f83,5dbafcafbc698b003b25e870,jvue@navjoyinc.com.gwv,2019-10-31T15:24:31.513Z,nnageli@navjoyinc.com.gwv,2020-09-16T20:22:02.680Z,Median Work,University Blvd,Quebec St,Belleview Ave,11.560,14.613,,11-04-2019 02:00,06-01-2020 02:00,Active,10-02-2019 10:00,,"name : CDOT Permit, description :  Permit for construction, url : https://assetgovprod.s3-us-west-2.amazonaws.com/Documents/Greenwood%20Village/documents/ConstructionWorkZone26b2c245-ad10-4c89-8921-a610994237f3CDOT_Permit_Completed10-17-19.pdf",1190694,https://assetgovprod.s3-us-west-2.amazonaws.com/Documents/Greenwood%20Village/documents/ConstructionWorkZone8eb4a492-84c1-4a44-a5d1-4eefca011fb6Construction%20Report%20Week%20of%202-3.pdf,Weekly Traffic Monitoring Report 2-3 / 
8,ConstructionWorkZone-8bcb3827-6a69-4e65-abe2-4f9bca0a0f83,5dbafcafbc698b003b25e870,jvue@navjoyinc.com.gwv,2019-10-31T15:24:31.513Z,nnageli@navjoyinc.com.gwv,2020-09-16T20:22:02.680Z,Median Work,University Blvd,Quebec St,Belleview Ave,11.560,14.613,,11-04-2019 02:00,06-01-2020 02:00,Active,10-02-2019 10:00,,"name : CDOT Permit, description :  Permit for construction, url : https://assetgovprod.s3-us-west-2.amazonaws.com/Documents/Greenwood%20Village/documents/ConstructionWorkZone26b2c245-ad10-4c89-8921-a610994237f3CDOT_Permit_Completed10-17-19.pdf",1190694,https://assetgovprod.s3-us-west-2.amazonaws.com/Documents/Greenwood%20Village/documents/ConstructionWorkZonea5755039-d76e-461d-9466-cbe7f9b4e6d6Construction%20Report%20Week%20of%201-27.pdf,Weekly Traffic Monitoring Report 1-27 / 
